iter	RMSE
0	7.965299571
1	6.875014456
2	6.364920105
3	6.045858425
4	5.796874824
5	5.68495158
6	5.593090935
7	5.550191111
8	5.515772413
9	5.492272924
10	5.462077286
11	5.460906978
12	5.457421512
13	5.431425132
14	5.419132427
15	5.402976861
16	5.391880312
17	5.386104856
18	5.376655837
19	5.351346783
20	5.344269645
21	5.32417677
22	5.318910145
23	5.316187213
24	5.30960628
25	5.309162813
26	5.306132632
27	5.303106908
28	5.296691962
29	5.288883269
30	5.27881257
31	5.276658464
32	5.274660489
33	5.272751436
34	5.271116566
35	5.270105115
36	5.269962678
37	5.261609025
38	5.251140524
39	5.249329431
40	5.244990513
41	5.243574224
42	5.23295377
43	5.231471905
44	5.228510976
45	5.228041346
46	5.226297316
47	5.225290526
48	5.225269034
49	5.224565797
50	5.223292234
51	5.222088345
52	5.221151247
53	5.220074461
54	5.218801382
55	5.216981966
56	5.210687185
57	5.210255356
58	5.208841939
59	5.208827029
60	5.207953717
61	5.20577777
62	5.204933932
63	5.201167692
64	5.200603513
65	5.20008464
66	5.199736973
67	5.196918576
68	5.191287247
69	5.186612646
70	5.186526591
71	5.184980973
72	5.184668931
73	5.183167795
74	5.182589369
75	5.182167645
76	5.180802167
77	5.180223986
78	5.179799104
79	5.178913361
80	5.178601406
81	5.177349208
82	5.176822377
83	5.176054842
84	5.175704697
85	5.175164045
86	5.175113486
87	5.174452434
88	5.174264855
89	5.173664453
90	5.171220104
91	5.171050172
92	5.170768107
93	5.17039004
94	5.17035538
95	5.170207122
96	5.169780532
97	5.169556703
98	5.167408479
99	5.167236552
