iter	Passed	Remaining
0	61	6057
1	61	3017
2	62	2006
3	62	1498
4	63	1207
5	63	1000
6	64	852
7	64	742
8	65	658
9	65	590
10	66	534
11	66	486
12	66	446
13	67	411
14	67	381
15	67	355
16	67	331
17	68	311
18	68	292
19	69	276
20	69	260
21	69	246
22	69	233
23	70	222
24	70	211
25	70	201
26	70	191
27	71	183
28	71	174
29	71	167
30	71	160
31	72	153
32	72	147
33	72	141
34	73	135
35	73	130
36	73	125
37	73	120
38	74	115
39	74	111
40	74	107
41	74	103
42	75	99
43	75	95
44	75	92
45	75	89
46	76	85
47	76	82
48	76	79
49	77	77
50	77	74
51	77	71
52	77	69
53	78	66
54	78	64
55	78	61
56	78	59
57	79	57
58	79	55
59	79	53
60	79	51
61	80	49
62	80	47
63	80	45
64	81	43
65	81	41
66	81	40
67	81	38
68	82	36
69	82	35
70	82	33
71	82	32
72	83	30
73	83	29
74	83	27
75	84	26
76	84	25
77	84	23
78	84	22
79	85	21
80	85	20
81	85	18
82	86	17
83	86	16
84	86	15
85	86	14
86	87	13
87	87	11
88	87	10
89	87	9
90	88	8
91	88	7
92	88	6
93	88	5
94	89	4
95	89	3
96	89	2
97	89	1
98	90	0
99	90	0
